legacy_page_num,section_order,section_title,page_order_in_section,page_component,component_name,translation_prefix,css_prefix,section_anchor_id,title,data_status,data_getters,indicator_keys,raw_source_tables,vectors_in_csv,vectors_expected,vectors_missing,coverage_pct,notes
55,4,Energy efficiency,9,EnergyIntensityIndex,EnergyIntensityIndex,energy_intensity_index,energy-intensity-index,energy-intensity-index,"Indexed total secondary energy use intensity per capita and per unit of GDP, 2000–2022 (2000=100)",static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
56,4,Energy efficiency,10,EnergyUseFactors,EnergyUseFactors,energy_use_factors,energy-use-factors,energy-use-factors,"Summary of factors influencing the change in energy use, 2000–2022",static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
57,4,Energy efficiency,11,SectorEnergyTrends,SectorEnergyTrends,sector_energy_trends,sector-energy-trends,sector-energy-trends,"Trends in energy use and intensity by sector, 2000–2022",static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
59,5,Clean power and low carbon fuels,1,CleanPowerLowCarbonOverview,CleanPowerLowCarbonOverview,clean_power_low_carbon_overview,clean-power-low-carbon-overview,clean-power-low-carbon-overview,Clean power and low carbon fuels,no_data,,,,,,,,
60,5,Clean power and low carbon fuels,2,CleanTechnologyEconomy,CleanTechnologyEconomy,clean_technology_economy,clean-technology-economy,clean-technology-economy,Clean technology and the economy,no_data,,,,,,,,
61,5,Clean power and low carbon fuels,3,EnvironmentalCleanTech,EnvironmentalCleanTech,environmental_clean_tech,environmental-clean-technology,environmental-clean-technology,Environmental and clean technology,pipeline_present,getEnvironmentalCleanTechData,environmental_clean_tech,nrcan_cleanenv_semantic,envcleantech_canada_gdp_market; envcleantech_clean_energy_gdp; envcleantech_eco_exports; envcleantech_eco_gdp; envcleantech_eco_jobs_clean_energy; envcleantech_eco_jobs_total; envcleantech_employment_total; envcleantech_tmx_can_count; envcleantech_tmx_can_mcap; envcleantech_tmx_count; envcleantech_tmx_mcap_total,envcleantech_canada_gdp_market; envcleantech_clean_energy_gdp; envcleantech_eco_exports; envcleantech_eco_gdp; envcleantech_eco_jobs_clean_energy; envcleantech_eco_jobs_total; envcleantech_employment_total; envcleantech_tmx_can_count; envcleantech_tmx_can_mcap; envcleantech_tmx_count; envcleantech_tmx_mcap_total,,100.0,
62,5,Clean power and low carbon fuels,4,CleantechCompaniesByRegion,CleantechCompaniesByRegion,cleantech_companies_geo,cleantech-companies,cleantech-companies,Cleantech companies,pipeline_present,getCleantechCompaniesByRegionData,clean_tech; cleantech_companies_geo,nrcan_cleantech_semantic; nrcan_spi_cleantech_geo,cleantech_geo_alta_count; cleantech_geo_alta_pct; cleantech_geo_atl_count; cleantech_geo_atl_pct; cleantech_geo_bc_count; cleantech_geo_bc_pct; cleantech_geo_man_count; cleantech_geo_man_pct; cleantech_geo_ont_count; cleantech_geo_ont_pct; cleantech_geo_que_count; cleantech_geo_que_pct; cleantech_geo_sask_count; cleantech_geo_sask_pct; cleantech_geo_terr_count; cleantech_geo_terr_pct; cleantech_geo_total,cleantech_geo_alta_count; cleantech_geo_alta_pct; cleantech_geo_atl_count; cleantech_geo_atl_pct; cleantech_geo_bc_count; cleantech_geo_bc_pct; cleantech_geo_man_count; cleantech_geo_man_pct; cleantech_geo_ont_count; cleantech_geo_ont_pct; cleantech_geo_que_count; cleantech_geo_que_pct; cleantech_geo_sask_count; cleantech_geo_sask_pct; cleantech_geo_terr_count; cleantech_geo_terr_pct; cleantech_geo_total,,100.0,
63,5,Clean power and low carbon fuels,5,CleantechCompaniesByIndustry,CleantechCompaniesByIndustry,cleantech_companies_industry,cleantech-companies-industry,cleantech-companies-industry,Canadian cleantech companies by industry,pipeline_present,getCleantechCompaniesByIndustryData,clean_tech; cleantech_companies_industry,nrcan_cleantech_semantic; nrcan_spi_cleantech_industry,cleantech_ind_agriculture_forestry_count; cleantech_ind_agriculture_forestry_pct; cleantech_ind_air_env_remediation_count; cleantech_ind_air_env_remediation_pct; cleantech_ind_biofuels_bioenergy_count; cleantech_ind_biofuels_bioenergy_pct; cleantech_ind_energy_efficiency_count; cleantech_ind_energy_efficiency_pct; cleantech_ind_mining_manufacturing_count; cleantech_ind_mining_manufacturing_pct; cleantech_ind_renewable_energy_count; cleantech_ind_renewable_energy_pct; cleantech_ind_smart_grid_storage_count; cleantech_ind_smart_grid_storage_pct; cleantech_ind_transportation_count; cleantech_ind_transportation_pct; cleantech_ind_waste_recycling_count; cleantech_ind_waste_recycling_pct; cleantech_ind_water_wastewater_count; cleantech_ind_water_wastewater_pct,cleantech_ind_agriculture_forestry_count; cleantech_ind_agriculture_forestry_pct; cleantech_ind_air_env_remediation_count; cleantech_ind_air_env_remediation_pct; cleantech_ind_biofuels_bioenergy_count; cleantech_ind_biofuels_bioenergy_pct; cleantech_ind_energy_efficiency_count; cleantech_ind_energy_efficiency_pct; cleantech_ind_mining_manufacturing_count; cleantech_ind_mining_manufacturing_pct; cleantech_ind_renewable_energy_count; cleantech_ind_renewable_energy_pct; cleantech_ind_smart_grid_storage_count; cleantech_ind_smart_grid_storage_pct; cleantech_ind_transportation_count; cleantech_ind_transportation_pct; cleantech_ind_waste_recycling_count; cleantech_ind_waste_recycling_pct; cleantech_ind_water_wastewater_count; cleantech_ind_water_wastewater_pct,,100.0,
64,5,Clean power and low carbon fuels,6,ElectricityInternationalContext,ElectricityInternationalContext,electricity_international_context,electricity-international-context,electricity-international-context,Electricity,static_hardcoded,,,,,,,,Uses hardcoded or placeholder data in page file
65,5,Clean power and low carbon fuels,7,ElectricityTrade,ElectricityTrade,electricity_trade_us,electricity-trade-us,electricity-trade-us,Trade (),pipeline_present,getElectricityTradeData,electricity_trade_us,cer_electricity_trade_summary,elec_trade_exports; elec_trade_imports; elec_trade_net,elec_trade_exports; elec_trade_imports; elec_trade_net,,100.0,
66,5,Clean power and low carbon fuels,8,CanadianElectricityGeneration,CanadianElectricityGeneration,electricity_generation_canada,canadian-electricity-generation,canadian-electricity-generation,Canadian supply,pipeline_present,getCanadianElectricityGenerationData,electricity_generation_by_source,nrcan_elegen_can,elegen_can_coal_pct; elegen_can_hydro_pct; elegen_can_natural_gas_pct; elegen_can_nuclear_pct; elegen_can_other_renewables_pct; elegen_can_petroleum_pct; elegen_can_total_twh; elegen_prov_biomass_alta_pct; elegen_prov_biomass_bc_pct; elegen_prov_biomass_canada_pct; elegen_prov_biomass_man_pct; elegen_prov_biomass_nb_pct; elegen_prov_biomass_nl_pct; elegen_prov_biomass_ns_pct; elegen_prov_biomass_nvt_pct; elegen_prov_biomass_nwt_pct; elegen_prov_biomass_ont_pct; elegen_prov_biomass_pei_pct; elegen_prov_biomass_que_pct; elegen_prov_biomass_sask_pct; elegen_prov_biomass_yt_pct; elegen_prov_coal_alta_pct; elegen_prov_coal_bc_pct; elegen_prov_coal_canada_pct; elegen_prov_coal_man_pct; elegen_prov_coal_nb_pct; elegen_prov_coal_nl_pct; elegen_prov_coal_ns_pct; elegen_prov_coal_nvt_pct; elegen_prov_coal_nwt_pct; elegen_prov_coal_ont_pct; elegen_prov_coal_pei_pct; elegen_prov_coal_que_pct; elegen_prov_coal_sask_pct; elegen_prov_coal_yt_pct; elegen_prov_hydro_alta_pct; elegen_prov_hydro_bc_pct; elegen_prov_hydro_canada_pct; elegen_prov_hydro_man_pct; elegen_prov_hydro_nb_pct; elegen_prov_hydro_nl_pct; elegen_prov_hydro_ns_pct; elegen_prov_hydro_nvt_pct; elegen_prov_hydro_nwt_pct; elegen_prov_hydro_ont_pct; elegen_prov_hydro_pei_pct; elegen_prov_hydro_que_pct; elegen_prov_hydro_sask_pct; elegen_prov_hydro_yt_pct; elegen_prov_natural_gas_alta_pct; elegen_prov_natural_gas_bc_pct; elegen_prov_natural_gas_canada_pct; elegen_prov_natural_gas_man_pct; elegen_prov_natural_gas_nb_pct; elegen_prov_natural_gas_nl_pct; elegen_prov_natural_gas_ns_pct; elegen_prov_natural_gas_nvt_pct; elegen_prov_natural_gas_nwt_pct; elegen_prov_natural_gas_ont_pct; elegen_prov_natural_gas_pei_pct; elegen_prov_natural_gas_que_pct; elegen_prov_natural_gas_sask_pct; elegen_prov_natural_gas_yt_pct; elegen_prov_nuclear_alta_pct; elegen_prov_nuclear_bc_pct; elegen_prov_nuclear_canada_pct; elegen_prov_nuclear_man_pct; elegen_prov_nuclear_nb_pct; elegen_prov_nuclear_nl_pct; elegen_prov_nuclear_ns_pct; elegen_prov_nuclear_nvt_pct; elegen_prov_nuclear_nwt_pct; elegen_prov_nuclear_ont_pct; elegen_prov_nuclear_pei_pct; elegen_prov_nuclear_que_pct; elegen_prov_nuclear_sask_pct; elegen_prov_nuclear_yt_pct; elegen_prov_other_alta_pct; elegen_prov_other_bc_pct; elegen_prov_other_canada_pct; elegen_prov_other_man_pct; elegen_prov_other_nb_pct; elegen_prov_other_nl_pct; elegen_prov_other_ns_pct; elegen_prov_other_nvt_pct; elegen_prov_other_nwt_pct; elegen_prov_other_ont_pct; elegen_prov_other_pei_pct; elegen_prov_other_que_pct; elegen_prov_other_sask_pct; elegen_prov_other_yt_pct; elegen_prov_petroleum_alta_pct; elegen_prov_petroleum_bc_pct; elegen_prov_petroleum_canada_pct; elegen_prov_petroleum_man_pct; elegen_prov_petroleum_nb_pct; elegen_prov_petroleum_nl_pct; elegen_prov_petroleum_ns_pct; elegen_prov_petroleum_nvt_pct; elegen_prov_petroleum_nwt_pct; elegen_prov_petroleum_ont_pct; elegen_prov_petroleum_pei_pct; elegen_prov_petroleum_que_pct; elegen_prov_petroleum_sask_pct; elegen_prov_petroleum_yt_pct; elegen_prov_solar_alta_pct; elegen_prov_solar_bc_pct; elegen_prov_solar_canada_pct; elegen_prov_solar_man_pct; elegen_prov_solar_nb_pct; elegen_prov_solar_nl_pct; elegen_prov_solar_ns_pct; elegen_prov_solar_nvt_pct; elegen_prov_solar_nwt_pct; elegen_prov_solar_ont_pct; elegen_prov_solar_pei_pct; elegen_prov_solar_que_pct; elegen_prov_solar_sask_pct; elegen_prov_solar_yt_pct; elegen_prov_wind_alta_pct; elegen_prov_wind_bc_pct; elegen_prov_wind_canada_pct; elegen_prov_wind_man_pct; elegen_prov_wind_nb_pct; elegen_prov_wind_nl_pct; elegen_prov_wind_ns_pct; elegen_prov_wind_nvt_pct; elegen_prov_wind_nwt_pct; elegen_prov_wind_ont_pct; elegen_prov_wind_pei_pct; elegen_prov_wind_que_pct; elegen_prov_wind_sask_pct; elegen_prov_wind_yt_pct,elegen_can_coal_pct; elegen_can_hydro_pct; elegen_can_natural_gas_pct; elegen_can_nuclear_pct; elegen_can_other_renewables_pct; elegen_can_petroleum_pct; elegen_can_total_twh; elegen_prov_biomass_alta_pct; elegen_prov_biomass_bc_pct; elegen_prov_biomass_canada_pct; elegen_prov_biomass_man_pct; elegen_prov_biomass_nb_pct; elegen_prov_biomass_nl_pct; elegen_prov_biomass_ns_pct; elegen_prov_biomass_nvt_pct; elegen_prov_biomass_nwt_pct; elegen_prov_biomass_ont_pct; elegen_prov_biomass_pei_pct; elegen_prov_biomass_que_pct; elegen_prov_biomass_sask_pct; elegen_prov_biomass_yt_pct; elegen_prov_coal_alta_pct; elegen_prov_coal_bc_pct; elegen_prov_coal_canada_pct; elegen_prov_coal_man_pct; elegen_prov_coal_nb_pct; elegen_prov_coal_nl_pct; elegen_prov_coal_ns_pct; elegen_prov_coal_nvt_pct; elegen_prov_coal_nwt_pct; elegen_prov_coal_ont_pct; elegen_prov_coal_pei_pct; elegen_prov_coal_que_pct; elegen_prov_coal_sask_pct; elegen_prov_coal_yt_pct; elegen_prov_hydro_alta_pct; elegen_prov_hydro_bc_pct; elegen_prov_hydro_canada_pct; elegen_prov_hydro_man_pct; elegen_prov_hydro_nb_pct; elegen_prov_hydro_nl_pct; elegen_prov_hydro_ns_pct; elegen_prov_hydro_nvt_pct; elegen_prov_hydro_nwt_pct; elegen_prov_hydro_ont_pct; elegen_prov_hydro_pei_pct; elegen_prov_hydro_que_pct; elegen_prov_hydro_sask_pct; elegen_prov_hydro_yt_pct; elegen_prov_natural_gas_alta_pct; elegen_prov_natural_gas_bc_pct; elegen_prov_natural_gas_canada_pct; elegen_prov_natural_gas_man_pct; elegen_prov_natural_gas_nb_pct; elegen_prov_natural_gas_nl_pct; elegen_prov_natural_gas_ns_pct; elegen_prov_natural_gas_nvt_pct; elegen_prov_natural_gas_nwt_pct; elegen_prov_natural_gas_ont_pct; elegen_prov_natural_gas_pei_pct; elegen_prov_natural_gas_que_pct; elegen_prov_natural_gas_sask_pct; elegen_prov_natural_gas_yt_pct; elegen_prov_nuclear_alta_pct; elegen_prov_nuclear_bc_pct; elegen_prov_nuclear_canada_pct; elegen_prov_nuclear_man_pct; elegen_prov_nuclear_nb_pct; elegen_prov_nuclear_nl_pct; elegen_prov_nuclear_ns_pct; elegen_prov_nuclear_nvt_pct; elegen_prov_nuclear_nwt_pct; elegen_prov_nuclear_ont_pct; elegen_prov_nuclear_pei_pct; elegen_prov_nuclear_que_pct; elegen_prov_nuclear_sask_pct; elegen_prov_nuclear_yt_pct; elegen_prov_other_alta_pct; elegen_prov_other_bc_pct; elegen_prov_other_canada_pct; elegen_prov_other_man_pct; elegen_prov_other_nb_pct; elegen_prov_other_nl_pct; elegen_prov_other_ns_pct; elegen_prov_other_nvt_pct; elegen_prov_other_nwt_pct; elegen_prov_other_ont_pct; elegen_prov_other_pei_pct; elegen_prov_other_que_pct; elegen_prov_other_sask_pct; elegen_prov_other_yt_pct; elegen_prov_petroleum_alta_pct; elegen_prov_petroleum_bc_pct; elegen_prov_petroleum_canada_pct; elegen_prov_petroleum_man_pct; elegen_prov_petroleum_nb_pct; elegen_prov_petroleum_nl_pct; elegen_prov_petroleum_ns_pct; elegen_prov_petroleum_nvt_pct; elegen_prov_petroleum_nwt_pct; elegen_prov_petroleum_ont_pct; elegen_prov_petroleum_pei_pct; elegen_prov_petroleum_que_pct; elegen_prov_petroleum_sask_pct; elegen_prov_petroleum_yt_pct; elegen_prov_solar_alta_pct; elegen_prov_solar_bc_pct; elegen_prov_solar_canada_pct; elegen_prov_solar_man_pct; elegen_prov_solar_nb_pct; elegen_prov_solar_nl_pct; elegen_prov_solar_ns_pct; elegen_prov_solar_nvt_pct; elegen_prov_solar_nwt_pct; elegen_prov_solar_ont_pct; elegen_prov_solar_pei_pct; elegen_prov_solar_que_pct; elegen_prov_solar_sask_pct; elegen_prov_solar_yt_pct; elegen_prov_wind_alta_pct; elegen_prov_wind_bc_pct; elegen_prov_wind_canada_pct; elegen_prov_wind_man_pct; elegen_prov_wind_nb_pct; elegen_prov_wind_nl_pct; elegen_prov_wind_ns_pct; elegen_prov_wind_nvt_pct; elegen_prov_wind_nwt_pct; elegen_prov_wind_ont_pct; elegen_prov_wind_pei_pct; elegen_prov_wind_que_pct; elegen_prov_wind_sask_pct; elegen_prov_wind_yt_pct,,100.0,
67,5,Clean power and low carbon fuels,9,ProvincialElectricityGeneration,ProvincialElectricityGeneration,electricity_generation_provincial,provincial-electricity-generation,provincial-electricity-generation,Provincial electricity generation by source,pipeline_partial,getProvincialElectricityGenerationData,electricity_generation_by_source,nrcan_elegen_can,elegen_prov_biomass_alta_pct; elegen_prov_biomass_bc_pct; elegen_prov_biomass_canada_pct; elegen_prov_biomass_man_pct; elegen_prov_biomass_nb_pct; elegen_prov_biomass_nl_pct; elegen_prov_biomass_ns_pct; elegen_prov_biomass_nvt_pct; elegen_prov_biomass_nwt_pct; elegen_prov_biomass_ont_pct; elegen_prov_biomass_pei_pct; elegen_prov_biomass_que_pct; elegen_prov_biomass_sask_pct; elegen_prov_biomass_yt_pct; elegen_prov_coal_alta_pct; elegen_prov_coal_bc_pct; elegen_prov_coal_canada_pct; elegen_prov_coal_man_pct; elegen_prov_coal_nb_pct; elegen_prov_coal_nl_pct; elegen_prov_coal_ns_pct; elegen_prov_coal_nvt_pct; elegen_prov_coal_nwt_pct; elegen_prov_coal_ont_pct; elegen_prov_coal_pei_pct; elegen_prov_coal_que_pct; elegen_prov_coal_sask_pct; elegen_prov_coal_yt_pct; elegen_prov_hydro_alta_pct; elegen_prov_hydro_bc_pct; elegen_prov_hydro_canada_pct; elegen_prov_hydro_man_pct; elegen_prov_hydro_nb_pct; elegen_prov_hydro_nl_pct; elegen_prov_hydro_ns_pct; elegen_prov_hydro_nvt_pct; elegen_prov_hydro_nwt_pct; elegen_prov_hydro_ont_pct; elegen_prov_hydro_pei_pct; elegen_prov_hydro_que_pct; elegen_prov_hydro_sask_pct; elegen_prov_hydro_yt_pct; elegen_prov_natural_gas_alta_pct; elegen_prov_natural_gas_bc_pct; elegen_prov_natural_gas_canada_pct; elegen_prov_natural_gas_man_pct; elegen_prov_natural_gas_nb_pct; elegen_prov_natural_gas_nl_pct; elegen_prov_natural_gas_ns_pct; elegen_prov_natural_gas_nvt_pct; elegen_prov_natural_gas_nwt_pct; elegen_prov_natural_gas_ont_pct; elegen_prov_natural_gas_pei_pct; elegen_prov_natural_gas_que_pct; elegen_prov_natural_gas_sask_pct; elegen_prov_natural_gas_yt_pct; elegen_prov_nuclear_alta_pct; elegen_prov_nuclear_bc_pct; elegen_prov_nuclear_canada_pct; elegen_prov_nuclear_man_pct; elegen_prov_nuclear_nb_pct; elegen_prov_nuclear_nl_pct; elegen_prov_nuclear_ns_pct; elegen_prov_nuclear_nvt_pct; elegen_prov_nuclear_nwt_pct; elegen_prov_nuclear_ont_pct; elegen_prov_nuclear_pei_pct; elegen_prov_nuclear_que_pct; elegen_prov_nuclear_sask_pct; elegen_prov_nuclear_yt_pct; elegen_prov_other_alta_pct; elegen_prov_other_bc_pct; elegen_prov_other_canada_pct; elegen_prov_other_man_pct; elegen_prov_other_nb_pct; elegen_prov_other_nl_pct; elegen_prov_other_ns_pct; elegen_prov_other_nvt_pct; elegen_prov_other_nwt_pct; elegen_prov_other_ont_pct; elegen_prov_other_pei_pct; elegen_prov_other_que_pct; elegen_prov_other_sask_pct; elegen_prov_other_yt_pct; elegen_prov_petroleum_alta_pct; elegen_prov_petroleum_bc_pct; elegen_prov_petroleum_canada_pct; elegen_prov_petroleum_man_pct; elegen_prov_petroleum_nb_pct; elegen_prov_petroleum_nl_pct; elegen_prov_petroleum_ns_pct; elegen_prov_petroleum_nvt_pct; elegen_prov_petroleum_nwt_pct; elegen_prov_petroleum_ont_pct; elegen_prov_petroleum_pei_pct; elegen_prov_petroleum_que_pct; elegen_prov_petroleum_sask_pct; elegen_prov_petroleum_yt_pct; elegen_prov_solar_alta_pct; elegen_prov_solar_bc_pct; elegen_prov_solar_canada_pct; elegen_prov_solar_man_pct; elegen_prov_solar_nb_pct; elegen_prov_solar_nl_pct; elegen_prov_solar_ns_pct; elegen_prov_solar_nvt_pct; elegen_prov_solar_nwt_pct; elegen_prov_solar_ont_pct; elegen_prov_solar_pei_pct; elegen_prov_solar_que_pct; elegen_prov_solar_sask_pct; elegen_prov_solar_yt_pct; elegen_prov_wind_alta_pct; elegen_prov_wind_bc_pct; elegen_prov_wind_canada_pct; elegen_prov_wind_man_pct; elegen_prov_wind_nb_pct; elegen_prov_wind_nl_pct; elegen_prov_wind_ns_pct; elegen_prov_wind_nvt_pct; elegen_prov_wind_nwt_pct; elegen_prov_wind_ont_pct; elegen_prov_wind_pei_pct; elegen_prov_wind_que_pct; elegen_prov_wind_sask_pct; elegen_prov_wind_yt_pct,elegen_prov_biomass_alta_pct; elegen_prov_biomass_bc_pct; elegen_prov_biomass_canada_pct; elegen_prov_biomass_man_pct; elegen_prov_biomass_nb_pct; elegen_prov_biomass_nl_pct; elegen_prov_biomass_ns_pct; elegen_prov_biomass_nvt_pct; elegen_prov_biomass_nwt_pct; elegen_prov_biomass_ont_pct; elegen_prov_biomass_pei_pct; elegen_prov_biomass_que_pct; elegen_prov_biomass_sask_pct; elegen_prov_biomass_yt_pct; elegen_prov_coal_alta_pct; elegen_prov_coal_bc_pct; elegen_prov_coal_canada_pct; elegen_prov_coal_man_pct; elegen_prov_coal_nb_pct; elegen_prov_coal_nl_pct; elegen_prov_coal_ns_pct; elegen_prov_coal_nvt_pct; elegen_prov_coal_nwt_pct; elegen_prov_coal_ont_pct; elegen_prov_coal_pei_pct; elegen_prov_coal_que_pct; elegen_prov_coal_sask_pct; elegen_prov_coal_yt_pct; elegen_prov_hydro_alta_pct; elegen_prov_hydro_bc_pct; elegen_prov_hydro_canada_pct; elegen_prov_hydro_man_pct; elegen_prov_hydro_nb_pct; elegen_prov_hydro_nl_pct; elegen_prov_hydro_ns_pct; elegen_prov_hydro_nvt_pct; elegen_prov_hydro_nwt_pct; elegen_prov_hydro_ont_pct; elegen_prov_hydro_pei_pct; elegen_prov_hydro_que_pct; elegen_prov_hydro_sask_pct; elegen_prov_hydro_yt_pct; elegen_prov_natural_gas_alta_pct; elegen_prov_natural_gas_bc_pct; elegen_prov_natural_gas_canada_pct; elegen_prov_natural_gas_man_pct; elegen_prov_natural_gas_nb_pct; elegen_prov_natural_gas_nl_pct; elegen_prov_natural_gas_ns_pct; elegen_prov_natural_gas_nvt_pct; elegen_prov_natural_gas_nwt_pct; elegen_prov_natural_gas_ont_pct; elegen_prov_natural_gas_pei_pct; elegen_prov_natural_gas_que_pct; elegen_prov_natural_gas_sask_pct; elegen_prov_natural_gas_yt_pct; elegen_prov_nuclear_alta_pct; elegen_prov_nuclear_bc_pct; elegen_prov_nuclear_canada_pct; elegen_prov_nuclear_man_pct; elegen_prov_nuclear_nb_pct; elegen_prov_nuclear_nl_pct; elegen_prov_nuclear_ns_pct; elegen_prov_nuclear_nvt_pct; elegen_prov_nuclear_nwt_pct; elegen_prov_nuclear_ont_pct; elegen_prov_nuclear_pei_pct; elegen_prov_nuclear_que_pct; elegen_prov_nuclear_sask_pct; elegen_prov_nuclear_yt_pct; elegen_prov_other_alta_pct; elegen_prov_other_bc_pct; elegen_prov_other_canada_pct; elegen_prov_other_man_pct; elegen_prov_other_nb_pct; elegen_prov_other_nl_pct; elegen_prov_other_ns_pct; elegen_prov_other_nvt_pct; elegen_prov_other_nwt_pct; elegen_prov_other_ont_pct; elegen_prov_other_pei_pct; elegen_prov_other_que_pct; elegen_prov_other_sask_pct; elegen_prov_other_yt_pct; elegen_prov_petroleum_alta_pct; elegen_prov_petroleum_bc_pct; elegen_prov_petroleum_canada_pct; elegen_prov_petroleum_man_pct; elegen_prov_petroleum_nb_pct; elegen_prov_petroleum_nl_pct; elegen_prov_petroleum_ns_pct; elegen_prov_petroleum_nvt_pct; elegen_prov_petroleum_nwt_pct; elegen_prov_petroleum_ont_pct; elegen_prov_petroleum_pei_pct; elegen_prov_petroleum_que_pct; elegen_prov_petroleum_sask_pct; elegen_prov_petroleum_yt_pct; elegen_prov_solar_alta_pct; elegen_prov_solar_bc_pct; elegen_prov_solar_canada_pct; elegen_prov_solar_man_pct; elegen_prov_solar_nb_pct; elegen_prov_solar_nl_pct; elegen_prov_solar_ns_pct; elegen_prov_solar_nvt_pct; elegen_prov_solar_nwt_pct; elegen_prov_solar_ont_pct; elegen_prov_solar_pei_pct; elegen_prov_solar_que_pct; elegen_prov_solar_sask_pct; elegen_prov_solar_yt_pct; elegen_prov_wind_alta_pct; elegen_prov_wind_bc_pct; elegen_prov_wind_canada_pct; elegen_prov_wind_man_pct; elegen_prov_wind_nb_pct; elegen_prov_wind_nl_pct; elegen_prov_wind_ns_pct; elegen_prov_wind_nvt_pct; elegen_prov_wind_nwt_pct; elegen_prov_wind_ont_pct; elegen_prov_wind_pei_pct; elegen_prov_wind_que_pct; elegen_prov_wind_sask_pct; elegen_prov_wind_yt_pct; natural_gas,natural_gas,99.2,Missing 1 of 127 expected vectors in export
68,5,Clean power and low carbon fuels,10,ElectricalEnergyUse,ElectricalEnergyUse,electrical_energy_use,electricity-energy-use,electricity-energy-use,Electrical energy use,pipeline_present,getElectricalEnergyUseData,electrical_energy_use,nrcan_electrical_energy_use,elec_eu_A; elec_eu_ALTA; elec_eu_ALTA_pct; elec_eu_ATL; elec_eu_ATL_pct; elec_eu_A_pct; elec_eu_BC_TERR; elec_eu_BC_TERR_pct; elec_eu_C; elec_eu_C_pct; elec_eu_I; elec_eu_I_pct; elec_eu_MAN; elec_eu_MAN_pct; elec_eu_ONT; elec_eu_ONT_pct; elec_eu_QUE; elec_eu_QUE_pct; elec_eu_R; elec_eu_R_pct; elec_eu_SASK; elec_eu_SASK_pct; elec_eu_T; elec_eu_T_pct; elec_eu_total,elec_eu_A; elec_eu_ALTA; elec_eu_ALTA_pct; elec_eu_ATL; elec_eu_ATL_pct; elec_eu_A_pct; elec_eu_BC_TERR; elec_eu_BC_TERR_pct; elec_eu_C; elec_eu_C_pct; elec_eu_I; elec_eu_I_pct; elec_eu_MAN; elec_eu_MAN_pct; elec_eu_ONT; elec_eu_ONT_pct; elec_eu_QUE; elec_eu_QUE_pct; elec_eu_R; elec_eu_R_pct; elec_eu_SASK; elec_eu_SASK_pct; elec_eu_T; elec_eu_T_pct; elec_eu_total,,100.0,
69,5,Clean power and low carbon fuels,11,ElectricityPricesMap,ElectricityPricesMap,electricity_prices,electricity-prices,electricity-prices,Electricity prices,pipeline_present,getElectricityPricesMapData,electricity_prices,nrcan_hydroq_prices,elec_price_calgary_industrial; elec_price_calgary_residential; elec_price_charlottetown_industrial; elec_price_charlottetown_residential; elec_price_edmonton_industrial; elec_price_edmonton_residential; elec_price_halifax_industrial; elec_price_halifax_residential; elec_price_moncton_industrial; elec_price_moncton_residential; elec_price_montreal_industrial; elec_price_montreal_residential; elec_price_ottawa_industrial; elec_price_ottawa_residential; elec_price_regina_industrial; elec_price_regina_residential; elec_price_st_johns_industrial; elec_price_st_johns_residential; elec_price_toronto_industrial; elec_price_toronto_residential; elec_price_vancouver_industrial; elec_price_vancouver_residential; elec_price_winnipeg_industrial; elec_price_winnipeg_residential,elec_price_calgary_industrial; elec_price_calgary_residential; elec_price_charlottetown_industrial; elec_price_charlottetown_residential; elec_price_edmonton_industrial; elec_price_edmonton_residential; elec_price_halifax_industrial; elec_price_halifax_residential; elec_price_moncton_industrial; elec_price_moncton_residential; elec_price_montreal_industrial; elec_price_montreal_residential; elec_price_ottawa_industrial; elec_price_ottawa_residential; elec_price_regina_industrial; elec_price_regina_residential; elec_price_st_johns_industrial; elec_price_st_johns_residential; elec_price_toronto_industrial; elec_price_toronto_residential; elec_price_vancouver_industrial; elec_price_vancouver_residential; elec_price_winnipeg_industrial; elec_price_winnipeg_residential,,100.0,
