page_num,page_component,title,inventory_status,derived_status,audit_result,issue_count,issues,data_getters,vectors_in_csv,coverage_pct
74,RenewableElectricityCapacity,Canadian renewable electricity generating capacity,pipeline_present,pipeline_present,PASS,0,,getRenewableElectricityCapacityData,ren_cap_biomass; ren_cap_hydro; ren_cap_solar_tidal; ren_cap_wind,100.0
76,HydroelectricCapacity,Hydroelectricity capacity in Canada,pipeline_present,pipeline_present,PASS,0,,getHydroelectricCapacityData,hydro_fac_01_mw; hydro_fac_01_prov; hydro_fac_02_mw; hydro_fac_02_prov; hydro_fac_03_mw; hydro_fac_03_prov; hydro_fac_04_mw; hydro_fac_04_prov; hydro_fac_05_mw; hydro_fac_05_prov; hydro_fac_06_mw; hydro_fac_06_prov; hydro_fac_07_mw; hydro_fac_07_prov; hydro_fac_08_mw; hydro_fac_08_prov; hydro_fac_09_mw; hydro_fac_09_prov; hydro_fac_10_mw; hydro_fac_10_prov; hydro_fac_11_mw; hydro_fac_11_prov; hydro_fac_12_mw; hydro_fac_12_prov; hydro_fac_13_mw; hydro_fac_13_prov; hydro_fac_14_mw; hydro_fac_14_prov; hydro_fac_15_mw; hydro_fac_15_prov; hydro_fac_16_mw; hydro_fac_16_prov; hydro_fac_17_mw; hydro_fac_17_prov; hydro_fac_18_mw; hydro_fac_18_prov; hydro_fac_19_mw; hydro_fac_19_prov; hydro_fac_20_mw; hydro_fac_20_prov; ren_cap_hydro,100.0
78,SolidBiofuelsProduction,Canadian production of solid biofuels,pipeline_present,pipeline_present,PASS,0,,getSolidBiofuelsProductionData,sbio_prod_firewood; sbio_prod_pellets; sbio_prod_pulping; sbio_prod_swr; sbio_use_electricity; sbio_use_industrial; sbio_use_residential; sbio_use_total,100.0
79,WorldWindPower,Wind power,pipeline_present,pipeline_present,PASS,0,,getWorldWindPowerData,win_can_wind_elec_share_pct; win_world_canada_rank; win_world_canada_share_pct; win_world_total_gw,100.0
80,CanadianWindPower,Wind power in Canada,pipeline_present,pipeline_present,PASS,0,,getCanadianWindPowerData,win_pwr_cap_add_mw; win_pwr_cap_cum_gw; win_pwr_cap_cum_mw; win_pwr_gen_twh; win_pwr_stat_cap_gw; win_pwr_stat_cap_mult; win_pwr_stat_cap_ratio; win_pwr_stat_cap_year; win_pwr_stat_gen_mult; win_pwr_stat_gen_ratio; win_pwr_stat_gen_twh; win_pwr_stat_gen_year,100.0
81,WindProjectsMap,Wind_capacity_by_province,pipeline_present,pipeline_present,PASS,0,,getWindProjectsMapData,wind_cap_alta; wind_cap_bc; wind_cap_man; wind_cap_nb; wind_cap_nl; wind_cap_ns; wind_cap_nwt; wind_cap_ont; wind_cap_pei; wind_cap_que; wind_cap_sask; wind_cap_yt,100.0
82,WorldSolarPower,Solar photovoltaic,pipeline_present,pipeline_present,PASS,0,,getWorldSolarPowerData,sol_world_canada_rank; sol_world_canada_share_pct; sol_world_total_gw,100.0
84,LargestSolarProjects,Largest solar projects,pipeline_missing,pipeline_missing,PASS,0,,getLargestSolarProjectsData,,
85,UraniumInternational,Uranium,pipeline_present,pipeline_present,PASS,0,,getUraniumInternationalData,urani_exp_canada_rank; urani_exp_canada_share_pct; urani_exp_top1_country_id; urani_exp_top1_share_pct; urani_exp_top2_country_id; urani_exp_top2_share_pct; urani_exp_top3_country_id; urani_exp_top3_share_pct; urani_exp_top4_country_id; urani_exp_top4_share_pct; urani_exp_top5_country_id; urani_exp_top5_share_pct; urani_exp_total_kt; urani_prod_canada_rank; urani_prod_canada_share_pct; urani_prod_top1_country_id; urani_prod_top1_share_pct; urani_prod_top2_country_id; urani_prod_top2_share_pct; urani_prod_top3_country_id; urani_prod_top3_share_pct; urani_prod_top4_country_id; urani_prod_top4_share_pct; urani_prod_top5_country_id; urani_prod_top5_share_pct; urani_prod_total_kt; urani_res_canada_rank; urani_res_canada_share_pct; urani_res_top1_country_id; urani_res_top1_share_pct; urani_res_top2_country_id; urani_res_top2_share_pct; urani_res_top3_country_id; urani_res_top3_share_pct; urani_res_top4_country_id; urani_res_top4_share_pct; urani_res_top5_country_id; urani_res_top5_share_pct; urani_res_total_mt,100.0
86,NuclearPower,Nuclear power,static_hardcoded,static_hardcoded,PASS,0,,,,
87,CanadianUraniumSupplyDemand,Canadian supply and demand,static_hardcoded,static_hardcoded,PASS,0,,,,
89,CanduNuclearReactors,CANDU nuclear reactors,static_hardcoded,static_hardcoded,PASS,0,,,,
90,NuclearPowerPlantsUraniumPrices,Uranium \u2013 prices,static_hardcoded,static_hardcoded,PASS,0,,,,
91,BiofuelsTransportation,Biofuels and transportation,static_hardcoded,static_hardcoded,PASS,0,,,,
93,CanadianBiofuelProduction,Canadian biofuel production,static_hardcoded,static_hardcoded,PASS,0,,,,
95,TransportationFuelMix,Fuel mix of the transportation sector,static_hardcoded,static_hardcoded,PASS,0,,,,
96,EvSalesRegistrations,"Plug-in electric vehicle registrations portion of total vehicle sales, –",pipeline_present,pipeline_present,PASS,0,,getEvSalesRegistrationsData,ev_new_regs; ev_share_pct; ev_total_regs,100.0
97,TransportationGhgSpotlight,GHG spotlight: Transportation,static_hardcoded,static_hardcoded,PASS,0,,,,
98,ElectricVehicleCharging,Electric vehicle charging,static_hardcoded,static_hardcoded,PASS,0,,,,
99,PublicEvChargingStations,Types_of_EV_chargers_at_public_charging_stations_in_Canada_,static_hardcoded,static_hardcoded,PASS,0,,,,
102,HydrogenIndustry,Hydrogen industry in Canada,static_hardcoded,static_hardcoded,PASS,0,,,,
103,OilGasCoalOverview,"Oil, natural gas and coal",no_data,no_data,PASS,0,,,,
105,PetroleumEmploymentByRegion,Share of employment by region,pipeline_present,pipeline_present,PASS,0,,getPetroleumEmploymentByRegionData,pet_emp_alta_direct_pct; pet_emp_alta_indirect_pct; pet_emp_bc_direct_pct; pet_emp_bc_indirect_pct; pet_emp_direct_total; pet_emp_indirect_total; pet_emp_man_direct_pct; pet_emp_man_indirect_pct; pet_emp_maritimes_direct_pct; pet_emp_maritimes_indirect_pct; pet_emp_nl_direct_pct; pet_emp_nl_indirect_pct; pet_emp_ont_direct_pct; pet_emp_ont_indirect_pct; pet_emp_que_direct_pct; pet_emp_que_indirect_pct; pet_emp_reporting_year; pet_emp_sask_direct_pct; pet_emp_sask_indirect_pct,100.0
106,PetroleumEmployment,Petroleum employment,static_hardcoded,static_hardcoded,PASS,0,,,,
107,PetroleumGdp,PETROLEUM GDP (Billions of Canadian Dollars),static_hardcoded,static_hardcoded,PASS,0,,,,
108,CrudeOilInternational,Crude oil,static_hardcoded,static_hardcoded,PASS,0,,,,
109,WorldProvedCrudeReserves,World proved reserves,pipeline_present,pipeline_present,PASS,0,,getWorldProvedCrudeReservesData,wr_crude_res_canada_bb; wr_crude_res_canada_pct; wr_crude_res_iran_bb; wr_crude_res_iran_pct; wr_crude_res_iraq_bb; wr_crude_res_iraq_pct; wr_crude_res_oil_sands_share_pct; wr_crude_res_other_bb; wr_crude_res_other_pct; wr_crude_res_reporting_year; wr_crude_res_saudi_bb; wr_crude_res_saudi_pct; wr_crude_res_total_bb; wr_crude_res_venezuela_bb; wr_crude_res_venezuela_pct,100.0
110,CanadianCrudeReserves,Canadian resources,pipeline_present,pipeline_present,PASS,0,,getCanadianCrudeReservesData,cr_res_conventional_bb; cr_res_insitu_bb; cr_res_mining_bb; cr_res_oil_sands_bb; cr_res_reporting_year; cr_res_total_bb; wc_oil_avg_depth_m; wc_oil_total_metres; wc_oil_wells_completed,100.0
111,CanadianCrudeProduction,Canadian production,pipeline_present,pipeline_present,PASS,0,,getCanadianCrudeProductionData,cp_conventional_mmbd; cp_conventional_thousand_m3; cp_oil_sands_mmbd; cp_oil_sands_thousand_m3; cp_prov_ab_pct; cp_prov_ab_thousand_m3; cp_prov_bc_pct; cp_prov_bc_thousand_m3; cp_prov_canada_thousand_m3; cp_prov_mb_pct; cp_prov_mb_thousand_m3; cp_prov_nl_pct; cp_prov_nl_thousand_m3; cp_prov_other_pct; cp_prov_other_thousand_m3; cp_prov_sk_pct; cp_prov_sk_thousand_m3; cp_share_pct; cp_total_mmbd; cp_total_thousand_m3,100.0
112,CanadianSupplyDemand,Canadian supply and demand,static_hardcoded,static_hardcoded,PASS,0,,,,
113,OilSandsProduction,Oil sands,pipeline_present,pipeline_present,PASS,0,,getOilSandsProductionData,os_capex_capp_m; os_capex_cumulative_bn; os_capex_statcan_m; os_conventional_mmbd; os_conventional_thousand_m3; os_oil_sands_mmbd; os_oil_sands_thousand_m3; os_proved_reserves_pct; os_share_pct; os_total_mmbd; os_total_thousand_m3; os_upgrading_capacity_mmbd; os_upgrading_pct,100.0
117,CrudeOilPrices,Prices,pipeline_present,pipeline_present,PASS,0,,getCrudeOilPricesData,crude_differential; crude_usd_cad; crude_wcs_cad; crude_wcs_usd; crude_wti,100.0
119,OilByRail,Oil by rail,static_hardcoded,static_hardcoded,PASS,0,,,,
122,NaturalGasInternational,Natural gas,static_hardcoded,static_hardcoded,PASS,0,,,,
123,WorldProvedGasReserves,World proved reserves,static_hardcoded,static_hardcoded,PASS,0,,,,
126,WesternCanadaGasWellCompletions,Count and average depth of natural gas wells completed in Western Canada,static_hardcoded,static_hardcoded,PASS,0,,,,
132,OilGasGhgSpotlight,GHG spotlight: Oil and gas,pipeline_partial,pipeline_partial,PASS,0,,getOilGasGhgSpotlightData,,0.0
135,RefinedPetroleumProducts,Refined petroleum products (RPPs),no_data,no_data,PASS,0,,,,
136,RppSupplyDemand,Supply and demand* (),pipeline_present,pipeline_present,PASS,0,,getRppSupplyDemandData,rpp_asphalt_pct; rpp_coke_pct; rpp_distillate_pct; rpp_domestic_bl; rpp_domestic_mmbd; rpp_exports_bl; rpp_exports_mmbd; rpp_imports_bl; rpp_imports_mmbd; rpp_jet_pct; rpp_motor_gasoline_pct; rpp_net_prod_bl; rpp_net_prod_mmbd; rpp_other_pct; rpp_refinery_bl; rpp_refinery_mmbd; rpp_residual_pct; rpp_still_gas_pct,100.0
138,RetailGasolinePrices,Retail prices,pipeline_present,pipeline_present,PASS,0,,getRetailGasolinePricesData,kal_calgary_crude; kal_calgary_marketing; kal_calgary_price; kal_calgary_refining; kal_calgary_taxes; kal_canada_crude; kal_canada_marketing; kal_canada_price; kal_canada_refining; kal_canada_taxes; kal_halifax_crude; kal_halifax_marketing; kal_halifax_price; kal_halifax_refining; kal_halifax_taxes; kal_montreal_crude; kal_montreal_marketing; kal_montreal_price; kal_montreal_refining; kal_montreal_taxes; kal_toronto_crude; kal_toronto_marketing; kal_toronto_price; kal_toronto_refining; kal_toronto_taxes; kal_vancouver_crude; kal_vancouver_marketing; kal_vancouver_price; kal_vancouver_refining; kal_vancouver_taxes,100.0
139,RefineryCapacity,Refinery capacity,pipeline_present,pipeline_present,PASS,0,,getRefineryCapacityData,refcap_ab_asphalt_capacity; refcap_ab_asphalt_count; refcap_ab_petroleum_capacity; refcap_ab_petroleum_count; refcap_ab_total_capacity; refcap_ab_total_count; refcap_bc_petroleum_capacity; refcap_bc_petroleum_count; refcap_bc_total_capacity; refcap_bc_total_count; refcap_nb_petroleum_capacity; refcap_nb_petroleum_count; refcap_nb_total_capacity; refcap_nb_total_count; refcap_on_lubricant_capacity; refcap_on_lubricant_count; refcap_on_petroleum_capacity; refcap_on_petroleum_count; refcap_on_total_capacity; refcap_on_total_count; refcap_qc_petroleum_capacity; refcap_qc_petroleum_count; refcap_qc_total_capacity; refcap_qc_total_count; refcap_sk_asphalt_capacity; refcap_sk_asphalt_count; refcap_sk_petroleum_capacity; refcap_sk_petroleum_count; refcap_sk_total_capacity; refcap_sk_total_count; refcap_total_asphalt_capacity; refcap_total_asphalt_count; refcap_total_lubricant_capacity; refcap_total_lubricant_count; refcap_total_petroleum_capacity; refcap_total_petroleum_count; refcap_total_total_capacity; refcap_total_total_count,100.0
140,CoalInternational,Coal,static_hardcoded,static_hardcoded,PASS,0,,,,
